id,codigo_barras,descripcion,stock_minimo,id_proveedor,stock_ideal,id_unidad,id_padre,tipo,cant_paquete,precio_costo,precio_venta,precio_venta2,precio_venta3,estado
1059,TR0204,CINTA AISLANTE 3M MERCURY  X 15 MTS,0,,0,1,,0,1,2703,5100,4700,4500,t
1060,TR0205,CINTA AISLANTE 3M TEMFLEX NEGRO X 18 MTS,0,,0,1,,0,1,5216.910079,9600,8900,8500,t
1061,TR0206,CINTA AUTOFUNDIENTE 3M 23 18MM X 91 MY,0,,0,1,,0,1,44200.941176,80400,75100,71300,t
1062,TR0207,"CINTA ENMASCARAR CELLUX VERDE 1""X55MTS",0,,0,1,,0,1,8758.7,16900,15900,14900,t
1063,TR0208,"CINTA ENMASCARAR 3M VERDE 3/4"" X55 MTS",0,,0,1,,0,1,8439.888889,16200,15300,14500,t
1064,TR0209,"CINTA ENMASCARAR 3M VERDE 1"" X55 MTS",0,,0,1,,0,1,12880.162162,24800,23400,22500,t
1065,TR0210,CINTA SUJESION ANILLOS ESTANDAR,0,,0,1,,0,1,4050,8200,7400,7100,t
1066,TR0211,CINTA TEFLON ATLANTIS X 15 MTS,0,,0,1,,0,1,1602.396724,4200,3300,2900,t
1067,TR0212,CINTA TEFLON ATLANTIS X 8 MTS,0,,0,1,,0,1,1108,2400,2200,2000,t
1068,TR0213,CINTA TRANSPARENTE P&C X 100 MTS,0,,0,1,,0,1,3402,6400,5900,5300,t
1069,TR0214,"CIZALLA FOY 18""",0,,0,1,,0,1,34192,62200,55900,53300,t
1070,TR0215,"CIZALLA FOY 24""",0,,0,1,,0,1,42809.33,83000,77400,72600,t
1071,TR0216,CLAVIJA KONTIKI 15 AMP,0,,0,1,,0,1,1985,4000,3700,3500,t
1072,TR0217,"CLAVO VARETA CUADRADA 5"" PUMA",0,,0,1,,0,1,8739.48,13500,13000,12600,t
1073,TR0218,COLUMNA MARTILLO YT28,0,,0,1,,0,1,508403,978700,924300,853200,t
1074,TR0219,COMPRESOR ACOPLE MACHO 3/8 X 3/8 NPT,0,,0,1,,0,1,3781.5,6300,5900,5500,t
1075,TR0220,"COMPRESOR CAPSULA R12 1""",0,,0,1,,0,1,3550.427778,8400,7700,6600,t
1076,TR0222,COMPRESOR EVANS 1 ETAPA 2HP 40LTS REF: EC07ME200-040,0,,0,1,,0,1,530696,926200,868400,807800,t
1077,TR0223,CONTACTOR CHINT 50-11 AMP 110-220-440V,0,,0,1,,0,1,76950,139900,134300,130800,t
1078,TR0224,CORONAS BARRENA 4 PUNTAS 40 MM,0,,0,1,,0,1,40500,73600,70700,70700,t
1079,TR0225,CORONAS BARRENA 7 PUNTAS 40 MM,0,,0,1,,0,1,46227.37352,105600,97500,91900,t
1080,TR0229,CORREA B 74,0,,0,1,,0,1,17927,29300,27600,26100,t
1081,TR0230,CORREA B 85,0,,0,1,,0,1,20658.274949,35900,33700,30300,t
1082,TR0231,CORREA B 90,0,,0,1,,0,1,21816.105762,35700,33600,31700,t
1083,TR0232,CORREA B 92,0,,0,1,,0,1,22287,36500,34300,32100,t
1084,TR0233,CRC 5-56 LUBRICANTE MULTIUSOS 460ML,0,,0,1,,0,1,15886.6,29700,27700,27000,t
1085,TR0234,CUCHILLA GUADAÑA BELLOTA ROJA OJO GRAN,0,,0,1,,0,1,6327.785165,8900,8400,8000,t
1086,TR0235,CUCHILLA GUADAÑA BELLOTA ROJA OJO PEQ,0,,0,1,,0,1,6340.363636,9200,8600,8200,t
1087,TR0236,CUCHILLON BELLOTA HG REF: 452225N,0,,0,1,,0,1,7719.826913,12800,12100,11500,t
1088,TR0237,POLIESTER  #6 X 180 MTS,0,,0,1,,0,1,620,1500,1400,1200,t
1089,TR0239,"CUERDA TRENZACOL NEGRO 5/32"" X 250 MTS",0,,0,1,,0,1,316,800,800,700,t
1090,TR0240,"CURVA CONDUIT 1""",0,,0,1,,0,1,588,1200,1100,1000,t
1091,TR0241,"CURVA CONDUIT 1/2""",0,,0,1,,0,1,247,500,500,500,t
1092,TR0242,"CURVA CONDUIT 1/2"" LARGO",0,,0,1,,0,1,662.205882,1100,1000,900,t
1093,TR0243,"CURVA CONDUIT 3/4""",0,,0,1,,0,1,924.4,1100,1000,900,t
1094,TR0244,"DESTORNILLADOR CORNETA ESTRIA 1/4 X 4"" REF:77441744",0,,0,1,,0,1,6075,11400,9900,9000,t
1095,TR0245,"DESTORNILLADOR CORNETA PALA 1/4 X 6"" REF:77431745",0,,0,1,,0,1,7128,12400,11700,11100,t
1096,TR0247,"DISCO ABRAS 4 1/2"" METAL Y ACERO",0,,0,1,,0,1,1539,3700,3400,3000,t
1097,TR0248,"DISCO CADENA  ALTERMAN 9"" 3/8",0,,0,1,,0,1,58792,109900,105400,97400,t
1098,TR0249,DISCO CADENA 404,0,,0,1,,0,1,52650,98500,94400,87200,t
1099,TR0250,"DISCO CORTE 4 1/2"" KWB",0,,0,1,,0,1,2835,4900,4800,4500,t
1100,TR0252,"DISCO DEWALT 14"" CORTE METAL DW44640",0,,0,1,,0,1,14887.356298,25700,25000,23200,t
1101,TR0253,"DISCO DEWALT 4 1/2"" CORTE - METAL FINO DW8062",0,,0,1,,0,1,3005.950598,5600,5200,4700,t
1102,TR0254,"DISCO DEWALT 4 1/2"" DESBASTE DW44830 - DW54830",0,,0,1,,0,1,3647.575747,7100,6500,6100,t
1103,TR0255,"DISCO DEWALT 7"" DESBASTE DW54850",0,,0,1,,0,1,6532.895777,11800,11200,10400,t
1104,TR0256,"DISCO DIAMANTADO CONTINUO 4 1/2"" BARRACUDA",0,,0,1,,0,1,15000,28100,26200,24200,t
1105,TR0257,"DISCO DIAMANTADO CONTINUO 4 1/2"" CORNETA",0,,0,1,,0,1,12586.5,22000,21400,20100,t
1106,TR0258,"DISCO DIAMANTADO CONTINUO 7"" BARRACUDA",0,,0,1,,0,1,27911,50000,47400,44000,t
1107,TR0259,"DISCO DIAMANTADO CONTINUO 7"" CORNETA",0,,0,1,,0,1,15350,28700,27900,26100,t
1108,TR0260,"DISCO DIAMANTADO SEGMENTADO 4 1/2"" BARRACUDA",0,,0,1,,0,1,13770,24000,23400,22000,t
1109,TR0261,"DISCO DIAMANTADO SEGMENTADO 4 1/2"" CORNETA",0,,0,1,,0,1,5673.488722,10000,9600,9000,t
1110,TR0262,"DISCO DIAMANTADO SEGMENTADO 7"" ABRACOL",0,,0,1,,0,1,19715,34400,33500,32300,t
1111,TR0263,"DISCO DIAMANTADO SEGMENTADO 7"" BARRACUDA",0,,0,1,,0,1,27955.5,48800,47500,44100,t
1112,TR0264,"DISCO DIAMANTADO SEGMENTADO 7"" CORNETA",0,,0,1,,0,1,15318,28600,26700,25100,t
1113,TR0265,"DISCO FLAP 4 1/2"" GR 60 CORNETA",0,,0,1,,0,1,3040,6600,5500,5000,t
1114,TR0266,"DISCO FLAP 4 1/2"" GR 80 CORNETA",0,,0,1,,0,1,1848.74,3700,3200,3000,t
1115,TR0267,"DISCO FLAP 7"" GR 80 CORNETA",0,,0,1,,0,1,7180.26,12700,11000,10200,t
1116,TR0268,"DISCO PARA GUADAÑA EMERIL ABRACOL 4 1/2""",0,,0,1,,0,1,7024,15300,13100,12100,t
1117,TR0269,"DISCO SIERRA INCOLMA 4 1/2"" X 40 DIENT",0,,0,1,,0,1,11242.785714,29400,21000,18200,t
1118,TR0278,EMBUDO GRANDE,0,,0,1,,0,1,3525.3625,12000,10000,8000,t
1119,TR0279,"EMPAQUE ACOPLE RAPIDO 1 1/2""",0,,0,1,,0,1,2310,5100,4600,4000,t
1120,TR0280,"EMPAQUE ACOPLE RAPIDO 2""",0,,0,1,,0,1,2950.2,5900,5400,5000,t
1121,TR0281,EMPAQUE VOLUTA REF:18388,0,,0,1,,0,1,10580,21300,19800,18000,t
1122,TR0282,EMPAQUES ORING CAUCHO DEL 1 HASTA 10,0,,0,1,,0,1,120,400,300,300,t
1123,TR0283,EMPAQUES ORING CAUCHO DEL 11 HASTA 20,0,,0,1,,0,1,157,500,500,400,t
1124,TR0284,EMPAQUES ORING CAUCHO DEL 21 HASTA 30,0,,0,1,,0,1,161,500,500,400,t
1125,TR0285,EMPELE BOMBA 3X3 10HP ALTA 12MM,0,,0,1,,0,1,100000,170500,163600,155300,t
1126,TR0286,ENGRASADORA TRUPER REFORZADA - LIGERA 14 OZ REF:14859,0,,0,1,,0,1,35826.230769,65100,62500,60100,t
1127,TR0287,ESCOBILLAS PARA DESEMBOMBADOR X PAR,0,,0,1,,0,1,11765,20500,23300,21000,t
1128,TR0288,ESCOBILLAS PARA DINAMO X PAR,0,,0,1,,0,1,13274.653846,24000,23000,21800,t
1129,TR0289,ESCOBILLAS PARA PULIDORA GRANDE,0,,0,1,,0,1,9576.4125,17900,16700,16100,t
1130,TR0290,ESCOBILLAS PARA PULIDORA PEQUEÑA,0,,0,1,,0,1,8000,15400,14500,13600,t
1131,TR0291,"ESCUADRA STANLEY 10"" REF: 46039",0,,0,1,,0,1,15447.715909,31300,29100,26900,t
1132,TR0292,ESLINGA INFASE DETENCION 90CM CON 2G3/4 REF: IN8020-090,0,,0,1,,0,1,99000,180000,172800,166100,t
1133,TR0293,"ESMERIL DE BANCO GLADIADOR 6"" X 1/3HP",0,,0,1,,0,1,183060,319500,311200,303300,t
1134,TR0294,EXTENCION DUPLEX MERCURY 2X14  4.5MTS,0,,0,1,,0,1,5587,10200,9800,9000,t
1135,TR0295,"EXTENCION DUPLEX MERCURY 2X14  7,6MTS",0,,0,1,,0,1,8537,15100,14500,13600,t
1136,TR0296,"EXTENCION DUPLEX MERCURY 2X14  9,1MTS",0,,0,1,,0,1,8556,18700,16000,14000,t
1137,TR0297,FAJA ZUBIOLA TALLA L REF:11903029,0,,0,1,,0,1,24098,45100,42100,40400,t
1138,TR0298,FAJA ZUBIOLA TALLA M REF:11903028,0,,0,1,,0,1,24699.466667,46200,43100,41500,t
1139,TR0299,FILTRO BALDWIN REF: BT427,0,,0,1,,0,1,28400,57200,53100,50200,t
1140,TR0300,FILTRO BALDWIN REF: BT216,0,,0,1,,0,1,42700,82200,77600,70800,t
1141,TR0301,FILTRO UNIVERSAL GASOLINA REF: GF61,0,,0,1,,0,1,1529.972854,4000,3400,3000,t
1142,TR0303,FLEXOMETRO COLIMA X 3 MTS,0,,0,1,,0,1,4907,10700,9900,9000,t
